Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
jean-paul-gaultier-ultra-male-75ml-tester,Jean Paul Gaultier Ultra Male 75ml (tester),"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Masculino</li><li><strong>Marca:</strong> Jean Paul Gaultier</li><li><strong>Categoría olfativa:</strong> Avainillado, frutal, dulce, aromático, canela</li><li><strong>Concentración:</strong> Eau de Toilette</li><li><strong>Clima:</strong> Otoño (templado, frío), Invierno (templado, frío)</li><li><strong>Notas de salida:</strong> Pera, lavanda, menta, bergamota y limón</li><li><strong>Notas de corazón:</strong> Canela, esclarea y alcaravea</li><li><strong>Notas de fondo:</strong> Vainilla negra, ámbar, pachulí y cedro</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Jean Paul Gaultier,Perfume,"DULCES, EAU DE TOILETTE, FRUTALES, JEAN PAUL GAULTIER, OTOÑO, PARA LA NOCHE, PERFUMERÍA, PERFUMES DE DISEÑADOR, PERFUMES PARA ELLOS, PERFUMES TESTER",TRUE,Title,Default Title,JPG07-1,0,continue,manual,88000,,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/C0AF25AB-D9B8-4EA7-AFEF-449EB4C8526A.jpg,1,active
ch-bad-boy-de-carolina-herrera-50ml-tester,CH Bad Boy De Carolina Herrera 50ml (tester),"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Masculino</li><li><strong>Marca:</strong> Carolina Herrera</li><li><strong>Categoría olfativa:</strong> Especiado, ámbar, amaderado, fresco, aromático</li><li><strong>Concentración:</strong> Eau de Toilette</li><li><strong>Clima:</strong> Otoño (templado, frío), Invierno (templado, frío)</li><li><strong>Notas de salida:</strong> Pimienta blanca, bergamota y pimienta rosa</li><li><strong>Notas de corazón:</strong> Cedro y esclarea</li><li><strong>Notas de fondo:</strong> Tonka y cacao</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Carolina Herrera,Perfume,"AMADERADOS, CAROLINA HERRERA, EAU DE TOILETTE, FRESCO, INVIERNO, OTOÑO, PARA LA NOCHE, PERFUMERÍA, PERFUMES DE DISEÑADOR, PERFUMES PARA ELLOS, PERFUMES TESTER",TRUE,Title,Default Title,CH36-2,0,continue,manual,100000,,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/641DA9AC-B427-4113-BD0C-E35495A6F0EE-1.jpg,1,active
ch-very-good-girl-de-carolina-herrera-50ml-tester,CH Very Good Girl De Carolina Herrera 50ml (tester),"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Femenino</li><li><strong>Marca:</strong> Carolina Herrera</li><li><strong>Categoría olfativa:</strong> Frutal, rosas, fresco, avainillado</li><li><strong>Concentración:</strong> Eau de Parfum</li><li><strong>Clima:</strong> Primavera (templado, cálido), Otoño (templado, frío)</li><li><strong>Notas de salida:</strong> Lichi y grosella roja</li><li><strong>Notas de corazón:</strong> Rosa</li><li><strong>Notas de fondo:</strong> Vainilla y vetiver</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Carolina Herrera,Perfume,"CAROLINA HERRERA, DULCES, EAU DE PARFUM, FRESCO, FRUTALES, PARA EL DÍA, PARA LA NOCHE, PERFUMERÍA, PERFUMES DE DISEÑADOR, PERFUMES PARA ELLAS, PERFUMES TESTER, PRIMAVERA, VERANO",TRUE,Title,Default Title,CH25-1,0,continue,manual,100000,,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/BBBEC576-15F7-4ACE-A87D-5357D02B4746.jpg,1,active
boss-bottled-parfum-hugo-boss-tester-50ml,hugo boss Bottled Parfum 50ml (tester),"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Masculino</li><li><strong>Marca:</strong> Hugo Boss</li><li><strong>Categoría olfativa:</strong> Cuero, amaderado, resinoso y atalcado</li><li><strong>Concentración:</strong> Parfum</li><li><strong>Clima:</strong> Otoño (templado, frío), Invierno (templado, frío)</li><li><strong>Notas de salida:</strong> Incienso de olíbano (franquincienso) y mandarina</li><li><strong>Notas de corazón:</strong> Árbol de la higuera y raíz de lirio</li><li><strong>Notas de fondo:</strong> Cedro y cuero</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Hugo Boss,Perfume,"AMADERADOS, HUGO BOSS, INVIERNO, OTOÑO, PARA LA NOCHE, PARFUM, PERFUMES DE DISEÑADOR, PERFUMES PARA ELLOS, PERFUMES TESTER",TRUE,Title,Default Title,,0,continue,manual,70000,,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/Boss-Bottled-Parfum-Hugo-Boss.jpeg,1,active
acqua-di-gio-de-giorgio-armani-50ml-tester,Acqua Di Gio de Giorgio Armani 50ml (tester),"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Masculino</li><li><strong>Marca:</strong> Giorgio Armani</li><li><strong>Categoría olfativa:</strong> Fresco, cítrico, aromático, marino</li><li><strong>Concentración:</strong> Eau de Toilette</li><li><strong>Clima:</strong> Primavera (templado, cálido), Verano (calor)</li><li><strong>Notas de salida:</strong> Lima, limón, bergamota, jazmín, naranja, mandarina y neroli</li><li><strong>Notas de corazón:</strong> Notas marinas, jazmín, calone, durazno, romero, fresia, jacinto, ciclamen, violeta, cilantro, nuez moscada, rosa y reseda</li><li><strong>Notas de fondo:</strong> Almizcle blanco, cedro, musgo de roble, pachulí y ámbar</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Giorgio Armani,Perfume,"CÍTRICOS, EAU DE TOILETTE, FRESCO, GIORGIO ARMANI, PARA EL DÍA, PARA LA NOCHE, PERFUMERÍA, PERFUMES DE DISEÑADOR, PERFUMES PARA ELLOS, PERFUMES TESTER, PRIMAVERA, VERANO",TRUE,Title,Default Title,GGAM06-1,0,continue,manual,75000,,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/5E15C38A-549B-40BA-807F-DB78EA5A0639.jpg,1,active
khamrah-waha-de-lattafa-100ml,Khamrah Waha de Lattafa 100ml,"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Unisex</li><li><strong>Marca:</strong> Lattafa</li><li><strong>Categoría olfativa:</strong> Acuático, fresco, aromático y amaderado</li><li><strong>Concentración:</strong> Eau de Parfum</li><li><strong>Clima:</strong> Primavera (templado), Verano (cálido, fresco)</li><li><strong>Notas de salida:</strong> Bergamota, notas marinas, manzana crujiente</li><li><strong>Notas de corazón:</strong> Lavanda, geranio y toques especiados suaves</li><li><strong>Notas de fondo:</strong> Madera de cedro, ámbar, vainilla sutil y almizcle</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Lattafa,Perfume,"AMADERADOS, CÍTRICOS, EAU DE PARFUM, FRESCO, LATTAFA PERFUMES, OFERTA, PARA EL DÍA, PERFUMERÍA, PERFUMERÍA ÁRABE, PERFUMES PARA ELLAS, PERFUMES PARA ELLOS, PERFUMES UNISEX, PROMOCIONES",TRUE,Title,Default Title,LTTF30-2-1,0,continue,manual,225000,280000,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/Khamrah-Waha-de-Lattafa-100ml.jpeg,1,active
prada-luna-rossa-ocean-de-prada-50ml-tester,Prada Luna Rossa Ocean De Prada 50ml (tester),"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Masculino</li><li><strong>Marca:</strong> Prada</li><li><strong>Categoría olfativa:</strong> Aromático, fougère, fresco y sutilmente atalcado</li><li><strong>Concentración:</strong> Eau de Toilette</li><li><strong>Clima:</strong> Primavera (templado, cálido), Verano (cálido), Otoño (templado)</li><li><strong>Notas de salida:</strong> Bergamota, pimienta rosa y abrótano</li><li><strong>Notas de corazón:</strong> Lavanda, iris, gamuza, salvia y azafrán</li><li><strong>Notas de fondo:</strong> Almizcle, vetiver de Haití, pachulí y caramelo</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Prada,Perfume,"EAU DE TOILETTE, FRESCO, OTOÑO, PARA EL DÍA, PARA LA NOCHE, PERFUMERÍA, PERFUMES DE DISEÑADOR, PERFUMES PARA ELLOS, PERFUMES TESTER, PRADA, PRIMAVERA, VERANO",TRUE,Title,Default Title,AGR1-1-1-1-1-1-1,0,continue,manual,110000,,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/Prada-Luna-Rossa-Ocean-De-Prada-50ml-tester.jpeg,1,active
ch-bad-boy-cobalt-elixir-de-carolina-herrera-50ml-tester,CH Bad boy cobalt elixir de carolina herrera 50ml (tester),"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Masculino</li><li><strong>Marca:</strong> Carolina Herrera</li><li><strong>Categoría olfativa:</strong> Amaderado, aromático, terroso y fresco especiado</li><li><strong>Concentración:</strong> Elixir / Eau de Parfum</li><li><strong>Clima:</strong> Primavera (templado), Otoño (templado, frío), Invierno (templado, frío)</li><li><strong>Notas de salida:</strong> Pimienta negra y salvia</li><li><strong>Notas de corazón:</strong> Trufa negra y notas amaderadas</li><li><strong>Notas de fondo:</strong> Vainilla y olíbano (incienso)</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Carolina Herrera,Perfume,"AMADERADOS, CAROLINA HERRERA, EAU DE PARFUM, INVIERNO, OTOÑO, PARA EL DÍA, PARA LA NOCHE, PERFUMERÍA, PERFUMES DE DISEÑADOR, PERFUMES PARA ELLOS, PERFUMES TESTER, PRIMAVERA",TRUE,Title,Default Title,CH36-1,0,continue,manual,120000,,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/CH-Bad-Boy-EDT-De-Carolina-Herrera-50ml-tester.jpeg,1,active
prada-lhomme-de-prada-edt-50ml-tester,Prada L&#8217;Homme De Prada EDT 50ml (tester),"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Masculino</li><li><strong>Marca:</strong> Prada</li><li><strong>Categoría olfativa:</strong> Atalcado, floral (iris), amaderado y fresco especiado</li><li><strong>Concentración:</strong> Eau de Toilette</li><li><strong>Clima:</strong> Primavera (templado), Verano (cálido), Otoño (templado)</li><li><strong>Notas de salida:</strong> Neroli, pimienta negra, cardamomo y semillas de zanahoria</li><li><strong>Notas de corazón:</strong> Iris, violeta, geranio y yerba mate</li><li><strong>Notas de fondo:</strong> Ámbar, cedro, pachulí y sándalo</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Prada,Perfume,"AMADERADOS, EAU DE TOILETTE, FLORALES, FRESCO, OTOÑO, PARA EL DÍA, PERFUMERÍA, PERFUMES DE DISEÑADOR, PERFUMES PARA ELLOS, PERFUMES TESTER, PRADA, PRIMAVERA, VERANO",TRUE,Title,Default Title,AGR1-1-1-1-1-1,0,continue,manual,100000,,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/Prada-La-Femme-EDP-50ml-tester.jpeg,1,active
toy-boy-de-moschino-50ml-tester,Toy Boy De Moschino 50ml (tester),"<p><strong>Descripción olfativa</strong></p><ul><li><strong>Género:</strong> Masculino</li><li><strong>Marca:</strong> Moschino</li><li><strong>Categoría olfativa:</strong> Floral, almizclado, amaderado, especiado, ámbar</li><li><strong>Concentración:</strong> Eau de Parfum</li><li><strong>Clima:</strong> Primavera (templado, cálido), Otoño (templado, frío), Invierno (frío)</li><li><strong>Notas de salida:</strong> Pimienta rosa, pera, nuez moscada de Indonesia, elemí y bergamota</li><li><strong>Notas de corazón:</strong> Rosa, clavo de olor, magnolia y lino</li><li><strong>Notas de fondo:</strong> Cachemira, vetiver de Haití, Sylkolide, sándalo y ámbar</li></ul><p>Producto original garantizado contra defectos de fábrica.</p>",Moschino,Perfume,"AMADERADOS, EAU DE PARFUM, FLORALES, INVIERNO, MOSCHINO, OTOÑO, PARA EL DÍA, PARA LA NOCHE, PERFUMERÍA, PERFUMES DE DISEÑADOR, PERFUMES PARA ELLOS, PERFUMES TESTER, PRIMAVERA",TRUE,Title,Default Title,MOSC04-1,0,continue,manual,95000,,TRUE,TRUE,https://perfumartevip.com/wp-content/uploads/2026/09/0C01496B-9ACF-4384-BF9E-723DBAFE5A20.jpg,1,active
