"Title","URL handle","Description","Vendor","Type","Tags","Published on online store","Status","Option1 name","Option1 value","Price","Inventory tracker","Inventory quantity","Continue selling when out of stock","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text"
"Yum Yum 100 ML","yum-yum-100-ml","<p>Yum Yum 100 ML: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, gourmand, lattafa","TRUE","Active","Title","Default Title","190000.00","shopify","10","DENY","TRUE","manual","","",""
"Set Yum Yum De 50 ML C/d Unidad","set-yum-yum-de-50-ml-c-d-unidad","<p>Set Yum Yum De 50 ML C/d Unidad: una fragancia gourmand de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, set, gourmand, lattafa","TRUE","Active","Title","Default Title","210000.00","shopify","9","DENY","TRUE","manual","","",""
"Island Blish 100 ML","island-blish-100-ml","<p>Island Blish 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","190000.00","shopify","9","DENY","TRUE","manual","","",""
"Lion Hearth 100 ML","lion-hearth-100-ml","<p>Lion Hearth 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","176000.00","shopify","13","DENY","TRUE","manual","","",""
"Mandarin Sky Elixir 100 ML","mandarin-sky-elixir-100-ml","<p>Mandarin Sky Elixir 100 ML: una fragancia fresca de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, fresco, armaf","TRUE","Active","Title","Default Title","136000.00","shopify","6","DENY","TRUE","manual","","",""
"Mandarin Sky 100 ML","mandarin-sky-100-ml","<p>Mandarin Sky 100 ML: una fragancia fresca de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, fresco, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","6","DENY","TRUE","manual","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/MANDARINSKY1_1.jpg?v=1749818647","1","Mandarin Sky 100 ML"
"Odyssey Candy 100 ML","odyssey-candy-100-ml","<p>Odyssey Candy 100 ML: una fragancia gourmand de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, gourmand, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","9","DENY","TRUE","manual","","",""
"Odyssey Homme 100 ML","odyssey-homme-100-ml","<p>Odyssey Homme 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, caballero, caja, oriental, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","5","DENY","TRUE","manual","","",""
"Odyssey Aoud 100 ML","odyssey-aoud-100-ml","<p>Odyssey Aoud 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, oriental, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","3","DENY","TRUE","manual","","",""
"Odyssey Wild One 100 ML","odyssey-wild-one-100-ml","<p>Odyssey Wild One 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, oriental, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","4","DENY","TRUE","manual","","",""
"Odyssey Tryant 100 ML","odyssey-tryant-100-ml","<p>Odyssey Tryant 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, oriental, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","6","DENY","TRUE","manual","","",""
"Odyssey Spectra 100 ML","odyssey-spectra-100-ml","<p>Odyssey Spectra 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, oriental, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","3","DENY","TRUE","manual","","",""
"Odyssey Artisto 100 ML","odyssey-artisto-100-ml","<p>Odyssey Artisto 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, oriental, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","15","DENY","TRUE","manual","","",""
"Odyssey Mega 100 ML","odyssey-mega-100-ml","<p>Odyssey Mega 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, oriental, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","14","DENY","TRUE","manual","","",""
"Odyssey Limoni 100 ML","odyssey-limoni-100-ml","<p>Odyssey Limoni 100 ML: una fragancia fresca de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, fresco, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","4","DENY","TRUE","manual","","",""
"Odyssey Dubai Chocolate 100 ML","odyssey-dubai-chocolate-100-ml","<p>Odyssey Dubai Chocolate 100 ML: una fragancia gourmand de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, gourmand, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","6","DENY","TRUE","manual","","",""
"Club De Nuit Intense 100 ML","club-de-nuit-intense-100-ml","<p>Club De Nuit Intense 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, oriental, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","11","DENY","TRUE","manual","","",""
"Club The Nuit Untold 100 ML","club-the-nuit-untold-100-ml","<p>Club The Nuit Untold 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, oriental, armaf","TRUE","Active","Title","Default Title","126000.00","shopify","14","DENY","TRUE","manual","","",""
"Club The Nuit Milestone 100 ML","club-the-nuit-milestone-100-ml","<p>Club The Nuit Milestone 100 ML: una fragancia oriental de Armaf. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Armaf","Perfume Árabe","arabe, unisex, caja, oriental, armaf","TRUE","Active","Title","Default Title","130000.00","shopify","13","DENY","TRUE","manual","","",""
