"Title","URL handle","Option1 name","Option1 value","Product image URL","Image position","Image alt text"
"Yum Yum 100 ML","yum-yum-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Yum Yum 100 ML"
"Set Yum Yum De 50 ML C/d Unidad","set-yum-yum-de-50-ml-c-d-unidad","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Set Yum Yum De 50 ML C/d Unidad"
"Island Blish 100 ML","island-blish-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Island Blish 100 ML"
"Lion Hearth 100 ML","lion-hearth-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Lion Hearth 100 ML"
"Mandarin Sky Elixir 100 ML","mandarin-sky-elixir-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Mandarin Sky Elixir 100 ML"
"Odyssey Candy 100 ML","odyssey-candy-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Odyssey Candy 100 ML"
"Odyssey Homme 100 ML","odyssey-homme-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Odyssey Homme 100 ML"
"Odyssey Aoud 100 ML","odyssey-aoud-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Odyssey Aoud 100 ML"
"Odyssey Wild One 100 ML","odyssey-wild-one-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Odyssey Wild One 100 ML"
"Odyssey Tryant 100 ML","odyssey-tryant-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Odyssey Tryant 100 ML"
"Odyssey Spectra 100 ML","odyssey-spectra-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Odyssey Spectra 100 ML"
"Odyssey Artisto 100 ML","odyssey-artisto-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Armaf","1","Odyssey Artisto 100 ML"
